,tweet_id,favorites,retweets,date_time
922,752568224206688256,5314,2187,2016-07-11 18:20:21+00:00
923,752519690950500352,7136,3316,2016-07-11 15:07:30+00:00
924,752334515931054080,3703,1058,2016-07-11 02:51:40+00:00
925,752309394570878976,0,15580,2016-07-11 01:11:51+00:00
926,752173152931807232,5771,1757,2016-07-10 16:10:29+00:00
927,751950017322246144,2970,876,2016-07-10 01:23:49+00:00
928,751937170840121344,5023,1261,2016-07-10 00:32:46+00:00
929,751830394383790080,5638,1873,2016-07-09 17:28:29+00:00
930,751793661361422336,5620,2784,2016-07-09 15:02:31+00:00
931,751598357617971201,7703,2934,2016-07-09 02:06:27+00:00
932,751583847268179968,4256,1055,2016-07-09 01:08:47+00:00
933,751538714308972544,4883,1205,2016-07-08 22:09:27+00:00
934,751456908746354688,3111,963,2016-07-08 16:44:23+00:00
935,751251247299190784,12146,5637,2016-07-08 03:07:09+00:00
936,751205363882532864,6121,1743,2016-07-08 00:04:50+00:00
937,751132876104687617,4906,1253,2016-07-07 19:16:47+00:00
938,750868782890057730,4620,1311,2016-07-07 01:47:22+00:00
939,750719632563142656,12738,4817,2016-07-06 15:54:42+00:00
940,750506206503038976,4303,1103,2016-07-06 01:46:38+00:00
941,750429297815552001,12764,4101,2016-07-05 20:41:01+00:00
942,750383411068534784,4408,1097,2016-07-05 17:38:41+00:00
943,750381685133418496,673,27,2016-07-05 17:31:49+00:00
944,750147208377409536,3008,924,2016-07-05 02:00:06+00:00
945,750132105863102464,3500,1238,2016-07-05 01:00:05+00:00
946,750117059602808832,4206,1258,2016-07-05 00:00:18+00:00
